id,name,typ,alter,land,position
ju_mi,juan mina,1,2004,kolumbien,rechter verteidiger
ju_ad,junior adamu,1,2001,oesterreich,sturm
ju_fc,junior fc,2,,kolumbien,
ju_ca,juninho capixaba,1,1997,brasilien,linker verteidiger
ju_ha,julian halwachs,1,2003,oesterreich,defensives mittelfeld
ju_kl,justin kluviert,1,1999,niederlande,offensives mittelfeld
ju_u20,juventus turin u20,2,,italien,
ju_tude,juventude,2,,brasilien,
ju_om,justin omoregie,1,2003,oesterreich,zentrales mittelfeld
ka_ad,karim adeyemi,1,2002,deutschland,rechtsaußen
ka_na,karvina,2,,tschechien,
ka_ge,akk gent,2,,belgien,
ka_ko,karim konate,1,2004,elfenbeinkueste,sturm
ka_ka,kazincbarcika,2,,ungarn,
ka_pi,kamil piatkowski,1,2000,polen,innenverteidiger
ka_fe,kawe ferreira,1,2002,brasilien,rechtsaußen
ke_lo,kevin lomonaco,1,2002,argentinien,innenverteidiger
ko_ge,konstantin gertig,1,2004,deutschland,linker verteidiger
ko_la,konrad laimer,1,1997,oesterreich,zentrales mittelfeld
ki_lu,klian ludewig,1,2000,deutschland,rechter verteidiger
ki_sc,kilian schroecker,1,2001,oesterreich,torwart
kvcw,kvc westerlo,2,,belgien,
kvoo,kv oostende,2,,belgien,
ky_du,kyle duncan,1,1997,usa,rechter verteidiger
la_ag,lawrence agyekum,1,2003,ghana,zentrales mittelfeld
la_sa,lazar samardzic,1,2002,serbien,zentrales mittelfeld
la_sp,fc lausanne sport,2,,schweiz,
la_sk,lask,2,,oesterreich,
lask_u18,aka lask u18,2,,oesterreich,
le_ci,leicester city,2,,england,
le_mo,lewis morgan,1,1996,schottland,linksaußen
lea_mo,leandro morgalla,1,2004,deutschland,rechter verteidiger
le_he,leandro henrique,1,1998,brasilien,linksaußen
leo_zi,leopold zingerle,1,1994,deutschland,torwart
leik,leiknir reykjavik,2,,island,
li_ol,lincoln henrique oliviera,1,1998,brasilien,offensives mittelfeld
lo_za,nk lokomotiva zagreb,2,,kroatien,
lok_mo,lokomotiv moskau,2,,russland,
lond,londrina ec,2,,brasilien,
loufc,loudoun united fc,2,,usa,
lo_op,lois openda,1,2000,belgien,mittelstuermer
lafc,los angeles fc,2,,usa,
lu_ca,luan candido,1,2001,brasilien,linker verteidiger
lu_pa,luan patrick,1,2002,brasilien,innenverteidiger
lu_le,luca lewis,1,2001,usa,torwart
lu_cu,lucas cunha,1,1997,brasilien,innenverteidiger
lu_ev,lucas evangelista,1,1995,brasilien,zentrales mittelfeld
lu_do,lucas gourna douath,1,2003,frankreich,defensives mittelfeld
lu_ga,lucas galdino,1,2001,brasilien,torwart
lu_mo,lucas monzon,1,2001,brasilien,innenverteidiger
lu_gon,lucas raphael goncalves da silva,1,1998,brasilien,innenverteidiger
lu_lb,lukas lbertsberger,1,2003,oesterreich,linker verteidiger
lu_ph,luis phelipe,1,2001,brasilien,linksaußen
lu_wa,lukas wallener,1,2003,oesterreich,innenverteidiger
le_un,leeds united,2,,england,
le_or,leonardo rech ortiz,1,1996,brasilien,innenverteidiger
lu_va,lucho vasquez,1,2003,kolumbien,innenverteidiger
luqu,luquinhas,1,1996,brasilien,linksaußen
lw,legia warschau,2,,polen,
malm,malmoe ff,2,,schweden,
ma_ci,manchester city,2,,england,
ma_as,majeed ashimeru,1,1997,ghana,zentrales mittelfeld
ma_di,mamady diambou,1,2002,mali,defensives mittelfeld
ma_de,mads didstrup,1,2001,daenemark,zentrales mittelfeld
ma_sa,marcelo saracchi,1,1998,uruguay,linker verteidiger
ma_sc,matteo schablas,1,2005,deutschland,linker verteidiger
ma_be,marcell berki,1,2004,ungarn,mittelstuermer
ma_ge,mark gevorgyan,1,2005,deutschland,rechter verteidiger
ma_jo,mathias jorgensen,1,2000,daenemark,rechtsaußen
ma_kj,maurits kjaergaard,1,2003,daennemark,zentrales mittelfeld
ma_ha,marcel halstenberg,1,1991,deutschland,innenverteidiger
ma_mo,marcel_moswitzer,1,2005,oesterreich,innenverteidiger
ma_no,matthew nocita,1,2000,usa,innenverteidiger
ma_ok,masaya okugawa,1,1996,japan,linksaußen
ma_pej,mario pejazic,1,2005,oesterreich,linker verteidiger
mari,maringa fc,2,,brasilien,
ma_pe,matheus peixoto,1,1995,brasilien,mittelstuermer
ma_fe,matheus fernandes,1,1998,brasilien,defensives mittelfeld
ma_go,matheus goncalves,1,2005,brasilien,rechtsaußen
ma_sab,marcel sabitzer,1,1994,oesterreich,zentrales mittelfeld
ma_vi,marcos vinicios lopes moura,1,2001,brasilien,linksaußen
ma_wo,maximilian woeber,1,1998,oesterreich,innenverteidiger
ma_san,mamadou sangaré,1,2002,mali,zentrales mittelfeld
me_be,mergim berisha,1,1998,deutschland,sturm
me_ib,mehmet ibrahimi,1,2003,deutschland,linksaußen
me_ka,metalist kharkiv,2,,ukraine,
mi_si,miguel silveira,1,2003,brasilien,offensives mittelfeld
mi_un,minnesota united,2,,usa,
midt,fc midtjylland,2,,dänemark,
mo_sa,mohammad sadeqi,1,2004,oesterreich,zentrales mittelfeld
mo_ne,moritz neumann,1,2005,oesterreich,mittelstuermer
mo_ca,mohamed camara,1,2000,mali,defensives mittelfeld
mo_si,mohamed simakan,1,2000,frankreich,innenverteidiger
mo_yeo,moussa yeo,1,2004,mali,rechtsaußen
muc,1860 muenchen,2,,deutschland,
naci,club nacional,2,,uruguay,
nant,fc nantes,2,,frankreich,
na_me,nathan mendes,1,2002,brasilien,rechter verteidiger
navy,navy midshipmen,2,,usa,
ni_ca,nicolas capaldo,1,1998,argentinien,zentrales mittelfeld
ni_ma,nico mantl,1,2000,deutschland,torwart
ni_tu,nicolo turco,1,2004,italien,sturm
no_ei,noah eile,1,2002,schweden,innenverteidiger
no_oh,noah ohia,1,2003,niederlande,mittelstuermer
no_mu,nordi mukiele,1,1997,frankreich,rechter vereteidiger
no_ok,noah okafor,1,2000,schweiz,linksaußen
na_so,natan bernardo de souza,1,2001,brasilien,innenverteidiger
ni_se,nicolas seiwald,1,2001,oesterreich,zentrales mittelfeld
nsc,nashville sc,2,,usa,
odd,odds bk,2,,norwegen,
oest,oeste fc,2,,brasilien,
oly_ly,olympique lyon,2,,frankreich,
ol_lu,oliver lukic,1,2006,kroatien,zentrales mittelfeld
om_fe,omir fernandez,1,1999,usa,rechtsaußen
om_so,omar sowe,1,2000,gambia,mittelstuermer
os_gl,oscar gloukh,1,2004,israel,offensives mittelfeld
os_pr,oskar preil,1,2003,deutschland,torwart
or_ny,orjan nyland,1,1990,norwegen,torwart
ou_di,oumar diakite,1,2003,elfenbeinkueste,sturm
ous_di,ousmane diakite,1,2000,mali,defensives mittelfeld
ov_mu,o'vonte mullings,1,2000,kanada,rechtsaußen
pa_da,patson daka,1,1998,sambia,sturm
pa_fa,pattrick farkas,1,1992,oesterreich,rechter verteidiger
pa_fc,pafos fc,2,,zypern,
pa_kl,patryk klimala,1,1998,polen,mittelstuermer
palm,palmeiras,2,,brasilien,
psg,paris saint germain,2,,frankreich,
pe_lo,Pedro Gabriel Pereira Lopes,1,1999,brasilien,linksaußen
pe_he,pedro henrique,1,1995,brasilien,innenverteidiger
pe_po,peter pokorny,1,2001,slowakei,defensives mittelfeld
pe_ra,eetar ratkov,1,2003,serbien,sturm
pe_st,peter stroud,1,2002,usa,zentrales mittelfeld
pena,ca penarol,2,,uruguay,
penn,penn state nittany lions,2,,usa,
pfkl,pfk lviv,2,,ukraine,
ph_ko,philipp koehn,1,1998,schweiz,torwart
ph_ve,phillip verhounig,1,2006,oesterreich,mittelstuermer
phil,philadelphia union,2,,usa,
po_pr,ponte preta,2,,brasilien,
po_sg,portugesa sg,2,,brasilien,
psv_eind,psv eindhoven,2,,niederlande,
qrm,quevilly rouen metropole,2,,frankreich,
ra_ca,rsc anderlecht,2,,belgien,
ra_cz,raków czestochowa,2,,polen,
ra_ho,raphael hofer,1,2003,oesterreich,linker verteidiger
ra_kr,rasmus kristensen,1,1997,daenemark,rechter verteidiger
ra_li,ramon ramos lima,1,2001,brasilien,linker verteidiger
rbb,rb bragantino,2,,brasilien,
rbb_b,rb bragantino b,2,,brasilien,
rbb_u20,rb bragantino u20 ,2,,brasilien,
rbl,rb leipzig,2,,deutschland,
rbn,red bull new york2,,,usa,
rbs,rb salzburg,2,,oesterreich,
rbs_u18,aka salzburg u18,2,,oesterreich,
rc_l,rc lens,2,,frankreich,
rc_st,rc straßburg alsace,2,,frankreich,
re_so,real sociedad b,2,,spanien,
re_si,renan victor da silva,1,2002,brasilien,innenverteidiger
ri_pl,river plate,2,,uruguay,
ro_ma,robson josé martins (robinho),1,1998,brasilien,rechtsaußen
ro_mi,roald mitchell,1,2003,usa,mittelstuermer
ro_do,ronaldo donkor,1,2004,ghana,zentrales mittelfeld
ro_zi,rocco zikovic,1,2005,kroatien,innenverteidiger
ro_si,roko simic,1,2003,kroatien,sturm
sa_ba,samson baidoo,1,2004,oesterreich,innenverteidiger
sa_ma,samuel major,1,2002,ungarn,rechter verteidiger
sa_te,samuel tetteh,1,1996,ghana,linksaußen
sa_ba,sanoussy ba,1,2004,deutschland,rechter verteidiger
sa_ha,salko hamzic,1,2006,oesterreich,torwart
sa_fe,saalfelden,2,,oesterreich,
sa_mo,sandro molnar,1,2003,oesterreich,innenverteidiger
sa_ti,samson tijani,1,2002,nigeria,defensives mittelfeld
sc_p,sc paderborn,2,,deutschland,
sc_fr,sc freiburg,2,,deutschland,
sc_v,sc verl,2,,deutschland,
scr_al,scr altach,2,,oesterreich,
se_ai,sebastian aigner,1,2001,oesterreich,defensives mittelfeld
se_kue,sebastian künstner,1,2005,oesterreich,torwart
se_le,sebastian leitner,1,2005,oesterreich,innenverteidiger
se_da,sean davis,1,1993,usa,zentrales mittelfeld
se_ku,seth kuhn,1,2000,usa,linksaußen
sh_d,shakhtar donetsk,2,,ukraine,
si_ra,sidney raebiger,1,2005,deutschland,zentrales mittelfeld
sk_k,sk austria klagenfurt,2,,oesterreich,
sk_sl,sk slavia prag,2,,tschechien,
sl_ro,sligo rovers,2,,irland,
so_bo,solomon bonnah,1,2003,niederlande,rechter verteidiger
so_di,soumaïla diabate,1,2004,mali,defensives mittelfeld
soch,fk sochi,2,,russland,
ssc_n,ssc neapel,2,,italien,
st_lue,standard luettich,2,,belgien,
st_ga,fc st gallen,2,,oesterreich,
st_gr,sturm graz,2,,oesterreich,
st_gr_2,sturm graz 2,2,,oesterreich,
st_po,strahinja pavlović,1,2001,serbien,innenverteidiger
st_lo,st louis city sc,2,,usa,
st_lo2,st louis city sc 2,2,,usa,
st_re,stade reims,2,,frankreich,
stan,stanford cardinal,2,,usa,
stok,stoke city,2,,england,
suwo,suwon buewings,2,,suedkorea,
sw_br,sw bregenz,2,,schweiz,
sv_el,sv elversberg,2,,deutschland,
sv_la,sv lafnitz,2,,oesterreich,
sv_ho,sv horn,2,,oesterreich,
sv_ka,sv kapfenberg,2,,oesterreich,
sv_ri,sc ried,2,,oesterreich,
ta_al,talisson de almeida,1,2002,brasilien,linksaußen
tbro,tampa bay rowdies,2,,usa,
te_av,m tel aviv,2,,israel,
th_bo,thiago borbas,1,2002,uruguay,mittelstuermer
th_an,thonny anderson,1,1997,brasilien,offensives mittelfeld
th_sc,thomas schiestl,1,2002,oesterreich,rechtes mittelfeld
ti_pa,tim paumgartner,1,2005,oesterreich,zentrales mittelfeld
ti_tr,tim trummer,1,2005,oesterreich,rechter verteidiger
ti_sc,tim schreiber,1,2002,deutschland,torwart
ti_we,timo werner,1,1996,deutschland,linksaußen
to_ba,tom barlow,1,1995,usa,mittelstuermer
to_ed,tom edwards,1,1999,england,rechter verteidiger
to_kr,tom krauß,1,2001,deutschland,zentrales mittelfeld
to_sa,tolgahan sahin,1,2004,oesterreich,zentrales mittelfeld
tsv_har,tsv hartberg,2,,oesterreich,
tsg_h,tsg hoffenheim,2,,deutschland,
tott,tottenham hotspur,2,,england,
ty_ad,tyler adams,1,1999,usa,defensives mittelfeld
ty_pa,tyler pasher,1,1994,kanada,rechtsaußen
ucon,uconn huskies,2,,usa,
unio,union saint gilloise,2,,belgien,
ud_ca,udinese calcia,2,,italien,
us_sa,us salernitana 1919,2,,italien,
usk_an,usk anif,2,,oesterreich,
va_oe,valentin oelz,1,2005,oesterreich,torwart
va_su,valentin sulzbacher,1,2005,oesterreich,zentrales mittelfeld
va_ga,vasco da gama,2,,brasilien,
ve_ff,vendsyssel ff,2,,norwegen,
vfl_w,vfl wolfsburg,2,,deutschland,
vfl_bo,vfl bochum,2,,deutschland,
vi_ff,viborg ff,2,,daenemark,
vi_ca,victor hugo santana carvalho,1,1998,brasilien,offensives mittelfeld
vi_pi,victor pires dos santos,1,2001,brasilien,offensives mittelfeld
virg,virginia cavaliers,2,,usa,
vi_na,vitor hugo naum,1,1999,brasilien,linksaußen
vi_gu,vitoria guimaraes sc,2,,portugal,
vi_pe,vinicius mendonca pereira,1,2004,brasilien,linksaußen
wake,wake forest demon deacons,2,,usa,
wa_fc,west african football academy,2,,ghana,
watf,watford fc,2,,england,
we_po,werik popo,1,2001,brasilien,mittelstuermer
we_pi,wesley pionteck,1,1996,brasilien,rechtsaußen
we_mo,weverson moreira,1,2000,brasilien,linker verteidiger
we_si,weverton da silva,1,1999,brasilien,rechter verteidiger
wi_2,willem 2,2,,niederlande,
wo_ac,wolfsberger ac,2,,oesterreich,
wo_wa,wolverhamton wanderers,2,,england,
wsg_ti,wsg tirol,2,,oesterreich,
xa_si,xavi simons,1,2003,niederlande,offensives mittelfeld
xa_sc,xaver schlager,1,1997,oesterreich,zentrales mittelfeld
yara,yaracuyanos,2,,venezuela,
yale,yale bulldogs,2,,usa,
yt_ol,ytalo jose oliveira,1,1988,brasilien,mittelstuermer
ze_ja,zeteny jano,1,2005,oesterreich,offensives mittelfeld
yo_di,youba diarra,1,1998,maili,zentrales mittelfeld
yv_mv,yvon mvogo,1,1994,schweiz,torwart
z_sp,zenit st petersburg,2,,russland,
za_ry,zach ryan,1,1999,usa,sturm
zu_wa,zulte waregem,2,,belgien,